name,link,location,continent,country,region,locality,rating,elev_diff,min_alt,max_alt,total_km,easy_km,inter_km,diff_km,num_lifts,price,current_season,general_season,opening_times,approx_season_start,approx_season_end,original_currency,original_value,exchange_rate,usd_price
Ischgl/​Samnaun – Silvretta Arena,https://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,Europe > Austria > Tyrol (Tirol) > Tiroler Oberland > Landeck > Paznaun-Ischgl | Europe > Switzerland > Eastern Switzerland > Graubünden > Engadin Samnaun Val Müstair,Europe,Switzerland | Austria,Tyrol (Tirol) > Tiroler Oberland > Landeck | Eastern Switzerland > Graubünden,Paznaun-Ischgl | Engadin Samnaun Val Müstair,4.8,1512 m,1360 m,2872 m,239 km,47 km,140 km,52 km,46,"€ 79,-",2025-11-27 - 2026-05-03,late November - early May,08:30 - 16:00,11-23,05-07,EUR,79.0,1.1553,91.2687
Arosa Lenzerheide,https://www.skiresort.info/ski-resort/arosa-lenzerheide/,Europe > Switzerland > Eastern Switzerland > Graubünden > Arosa | Europe > Switzerland > Eastern Switzerland > Graubünden > Lenzerheide,Europe,Switzerland,Eastern Switzerland > Graubünden | Eastern Switzerland > Graubünden,Arosa | Lenzerheide,4.7,1636 m,1229 m,2865 m,225 km,110 km,87 km,28 km,43,"SFr. 89,- / approx. € 96,-",2025-11-15 - 2026-04-12,late November - mid April,08:30 - 16:30,11-23,04-15,CHF,89.0,1.2428,110.60919999999999
Pfelders (Moos in Passeier),https://www.skiresort.info/ski-resort/pfelders-moos-in-passeier/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Merano and Environs > Passeier Valley (Passeiertal),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Merano and Environs,Passeier Valley (Passeiertal),3.7,901 m,1601 m,2502 m,18 km,5 km,9 km,4 km,4,"€ 55,-",2025-12-06 - 2026-04-12,early December - mid April,09:00 - 16:30,12-07,04-15,EUR,55.0,1.1553,63.5415
Großglockner Resort Kals-Matrei,https://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,Europe > Austria > Tyrol (Tirol) > Osttirol (East Tyrol),Europe,Austria,Tyrol (Tirol),Osttirol (East Tyrol),4.2,1493 m,933 m,2426 m,40 km,8.5 km,25.5 km,6 km,12,"€ 70,-",2025-12-06 - 2026-04-12,mid December - mid April,09:00 - 16:30,12-15,04-15,EUR,70.0,1.1553,80.871
Nauders am Reschenpass – Bergkastel,https://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/,Europe > Austria > Tyrol (Tirol) > Tiroler Oberland (region) > Landeck > Tiroler Oberland,Europe,Austria,Tyrol (Tirol) > Tiroler Oberland (region) > Landeck,Tiroler Oberland,4.2,1350 m,1400 m,2750 m,75 km,25 km,36 km,14 km,11,"€ 65,-",2025-12-12 - 2026-04-10,early December - late April,08:30 - 16:00,12-07,04-23,EUR,65.0,1.1553,75.0945
Arber,https://www.skiresort.info/ski-resort/arber/,Europe > Germany > Bavaria (Bayern) > Bavarian Forest (Bayerische Wald) > Arberland,Europe,Germany,Bavaria (Bayern) > Bavarian Forest (Bayerische Wald),Arberland,3.7,406 m,1050 m,1456 m,11.5 km,4.5 km,4 km,3 km,6,"€ 45,-",2025-12-13 - 2026-03-29,mid December - late March,08:30 - 16:00,12-15,03-23,EUR,45.0,1.1553,51.9885
Hochoetz – Oetz,https://www.skiresort.info/ski-resort/hochoetz-oetz/,Europe > Austria > Tyrol (Tirol) > Tiroler Oberland (region) > Imst (District) > Ötztal,Europe,Austria,Tyrol (Tirol) > Tiroler Oberland (region) > Imst (District),Ötztal,4,862 m,1410 m,2272 m,37.5 km,12 km,21.5 km,4 km,15,"€ 62,-",2025-12-06 - 2026-04-18,early December - mid April,08:45 - 16:30,12-07,04-15,EUR,62.0,1.1553,71.6286
Wildkogel – Neukirchen/​Bramberg,https://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,Europe > Austria > Salzburg (Salzburger Land) > Pinzgau | Europe > Austria > Salzburg (Salzburger Land) > Zell am See,Europe,Austria,Salzburg (Salzburger Land) | Salzburg (Salzburger Land),Pinzgau | Zell am See,4.4,1330 m,820 m,2150 m,75 km,35 km,30 km,10 km,20,"€ 67,-",,mid December - mid April,08:30 - 16:30,12-15,04-15,EUR,67.0,1.1553,77.4051
Kaltenbach – Hochzillertal/​Hochfügen (SKi-optimal),https://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Erste Ferienregion im Zillertal,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal,Erste Ferienregion im Zillertal,4.7,1778 m,600 m,2378 m,88.9 km,38.3 km,37.7 km,12.9 km,38,"€ 80,-",,late November - late April,07:30 - 17:00,11-23,04-23,EUR,80.0,1.1553,92.424
Hochkönig – Maria Alm/​Dienten/​Mühlbach,https://www.skiresort.info/ski-resort/hochkoenig-maria-almdientenmuehlbach/,Europe > Austria > Salzburg (Salzburger Land) > Hochkönig,Europe,Austria,Salzburg (Salzburger Land),Hochkönig,4.5,1100 m,800 m,1900 m,120 km,52 km,41 km,27 km,34,€ 78.50,2025-12-05 - 2026-04-06,early December - mid April -,08:30 - 16:00,12-07,04-15,EUR,78.5,1.1553,90.69105
SkiWelt Wilder Kaiser-Brixental,https://www.skiresort.info/ski-resort/skiwelt-wilder-kaiser-brixental/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Wilder Kaiser | Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen > Brixental | Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen > Holiday Region Hohe Salve,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland | Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen | Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen,Wilder Kaiser | Brixental | Holiday Region Hohe Salve,4.8,1249 m,620 m,1869 m,275 km,115 km,121 km,39 km,81,"€ 76,-",2025-12-06 - 2026-04-06,early December - late March,08:00 - 16:30,12-07,03-23,EUR,76.0,1.1553,87.8028
Carezza,https://www.skiresort.info/ski-resort/carezza/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Eggental Valley (Val D’ega) | Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Val di Fassa (Fassa Valley/​Fassatal),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) | Trentino-Alto Adige (Trentino-Südtirol) > Trentino,Eggental Valley (Val D’ega) | Val di Fassa (Fassa Valley/​Fassatal),4.2,1155 m,1182 m,2337 m,40 km,19 km,16.2 km,4.8 km,13,"€ 72,-",2025-12-06 - 2026-04-06,late November - late March,08:30 - 16:30,11-23,03-23,EUR,72.0,1.1553,83.1816
Latemar – Obereggen/​Pampeago/​Predazzo,https://www.skiresort.info/ski-resort/latemar-obereggenpampeagopredazzo/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Eggental Valley (Val D’ega) | Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Val di Fiemme,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) | Trentino-Alto Adige (Trentino-Südtirol) > Trentino,Eggental Valley (Val D’ega) | Val di Fiemme,4.4,848 m,1540 m,2388 m,49 km,9.3 km,32.8 km,6.9 km,18,"€ 69,-",2025-11-28 - 2026-04-19,late November - late April,08:30 - 16:30,11-23,04-23,EUR,69.0,1.1553,79.7157
Stubai Glacier (Stubaier Gletscher),https://www.skiresort.info/ski-resort/stubai-glacier-stubaier-gletscher/,Europe > Austria > Tyrol (Tirol) > Innsbruck > Innsbruck-Land > Stubai,Europe,Austria,Tyrol (Tirol) > Innsbruck > Innsbruck-Land,Stubai,4.1,1515 m,1695 m,3210 m,65 km,38.9 km,23.2 km,2.9 km,26,€ 72.50,2025-10-03 - 2026-05-17,mid October - mid May,08:00 - 16:30,10-15,05-15,EUR,72.5,1.1553,83.75925
Lermoos – Grubigstein,https://www.skiresort.info/ski-resort/lermoos-grubigstein/,Europe > Austria > Tyrol (Tirol) > Außerfern > Tiroler Zugspitz Arena,Europe,Austria,Tyrol (Tirol) > Außerfern,Tiroler Zugspitz Arena,4,1096 m,1004 m,2100 m,26.5 km,14.4 km,10.2 km,1.9 km,8,"€ 68,-",2025-12-06 - 2026-04-12,early December - mid April,08:30 - 16:30,12-07,04-15,EUR,68.0,1.1553,78.5604
Spieljoch – Fügen,https://www.skiresort.info/ski-resort/spieljoch-fuegen/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Erste Ferienregion im Zillertal,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal,Erste Ferienregion im Zillertal,3.9,1444 m,610 m,2054 m,20.5 km,5.8 km,12 km,2.7 km,10,"€ 77,-",2025-12-13 - 2026-04-06,mid December - mid April,08:30 - 16:30,12-15,04-15,EUR,77.0,1.1553,88.9581
Silvretta Montafon,https://www.skiresort.info/ski-resort/silvretta-montafon/,Europe > Austria > Vorarlberg > Bludenz > Montafon,Europe,Austria,Vorarlberg > Bludenz,Montafon,4.6,1730 m,700 m,2430 m,141.6 km,60 km,50 km,31.6 km,35,"€ 77,-",2025-11-28 - 2026-04-12,late November - mid April,08:00 - 16:30,11-23,04-15,EUR,77.0,1.1553,88.9581
Obertauern,https://www.skiresort.info/ski-resort/obertauern/,Europe > Austria > Salzburg (Salzburger Land) > Lungau | Europe > Austria > Salzburg (Salzburger Land) > Obertauern,Europe,Austria,Salzburg (Salzburger Land) | Salzburg (Salzburger Land),Lungau | Obertauern,4.4,683 m,1630 m,2313 m,100 km,61 km,35 km,4 km,26,€ 69.50,2025-11-21 - 2026-05-03,late November - early May,09:00 - 16:00,11-23,05-07,EUR,69.5,1.1553,80.29335
Aletsch Arena – Riederalp/​Bettmeralp/​Fiesch Eggishorn,https://www.skiresort.info/ski-resort/aletsch-arena-riederalpbettmeralpfiesch-eggishorn/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Aletsch Arena,Europe,Switzerland,Lemanic Region > Valais (Wallis),Aletsch Arena,4.4,1024 m,1845 m,2869 m,104 km,42 km,50 km,12 km,35,"SFr. 66,- / approx. € 71,-",2025-12-06 - 2026-04-11,early December - mid April,09:00 - 16:30,12-07,04-15,CHF,66.0,1.2428,82.0248
Racines-Giovo (Ratschings-Jaufen)/​Malga Calice (Kalcheralm),https://www.skiresort.info/ski-resort/racines-giovo-ratschings-jaufenmalga-calice-kalcheralm/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Eisacktal > Sterzing-Ratschings-Gossensass,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Eisacktal,Sterzing-Ratschings-Gossensass,4.2,800 m,1300 m,2100 m,28.1 km,5.6 km,21.6 km,0.9 km,7,"€ 67,-",2025-12-05 - 2026-04-12,early December - mid April,08:30 - 16:15,12-07,04-15,EUR,67.0,1.1553,77.4051
KitzSki – Kitzbühel/​Kirchberg,https://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbühel (District) > Kitzbühel | Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen > Brixental | Europe > Austria > Salzburg (Salzburger Land) > Pinzgau,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland > Kitzbühel (District) | Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen | Salzburg (Salzburger Land),Kitzbühel | Brixental | Pinzgau,4.9,1200 m,800 m,2000 m,188 km,102 km,66 km,20 km,58,€ 79.50,2025-11-07 - 2026-04-12,early November - mid April,08:30 - 16:00,11-07,04-15,EUR,79.5,1.1553,91.84635
Steinplatte Winklmoosalm – Waidring/​Reit im Winkl,https://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen > Pillersee Valley (Pillerseetal) | Europe > Germany > Bavaria (Bayern) > Upper Bavaria (Oberbayern) > Chiemgau,Europe,Austria | Germany,Tyrol (Tirol) > Tiroler Unterland > Kitzbüheler Alpen | Bavaria (Bayern) > Upper Bavaria (Oberbayern),Pillersee Valley (Pillerseetal) | Chiemgau,4.2,1120 m,740 m,1860 m,42 km,20 km,20 km,2 km,14,"€ 63,-",2025-12-06 - 2026-04-06,early December - late March,08:30 - 16:30,12-07,03-23,EUR,63.0,1.1553,72.7839
Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm (Mountopolis),https://www.skiresort.info/ski-resort/mayrhofen-penkenahornrastkogeleggalm/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Mayrhofen-Hippach | Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Tux-Finkenberg,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal | Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal,Mayrhofen-Hippach | Tux-Finkenberg,4.7,1870 m,630 m,2500 m,142 km,44 km,66 km,32 km,61,"€ 79,-",2025-12-05 - 2026-04-12,early December - mid April,07:30 - 17:00,12-07,04-15,EUR,79.0,1.1553,91.2687
Madonna di Campiglio/​Pinzolo/​Folgàrida/​Marilleva,https://www.skiresort.info/ski-resort/madonna-di-campigliopinzolofolgaridamarilleva/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Val di Sole (Sole Valley) | Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > Madonna di Campiglio/​Pinzolo/​Val Rendena,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > Trentino | Trentino-Alto Adige (Trentino-Südtirol) > Trentino,Val di Sole (Sole Valley) | Madonna di Campiglio/​Pinzolo/​Val Rendena,4.7,1652 m,852 m,2504 m,155 km,50 km,72 km,33 km,58,"€ 85,-",2025-11-22 - 2026-04-12,mid December - mid April,08:30 - 16:30,12-15,04-15,EUR,85.0,1.1553,98.2005
Zillertal Arena – Zell am Ziller/​Gerlos/​Königsleiten/​Hochkrimml,https://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Zell-Gerlos,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal,Zell-Gerlos,4.7,1920 m,580 m,2500 m,150.1 km,50 km,88.1 km,12 km,52,"€ 79,-",,early December - mid April,08:30 - 16:30,12-07,04-15,EUR,79.0,1.1553,91.2687
St. Jakob im Defereggental – Brunnalm,https://www.skiresort.info/ski-resort/st-jakob-im-defereggental-brunnalm/,Europe > Austria > Tyrol (Tirol) > Osttirol (East Tyrol) > Deferreggen Valley (Defereggental),Europe,Austria,Tyrol (Tirol) > Osttirol (East Tyrol),Deferreggen Valley (Defereggental),4,1283 m,1400 m,2683 m,23.7 km,5 km,12.5 km,6.2 km,7,"€ 70,-",2025-12-06 - 2026-04-19,mid December - mid April,09:00 - 16:00,12-15,04-15,EUR,70.0,1.1553,80.871
Biberwier – Marienberg,https://www.skiresort.info/ski-resort/biberwier-marienberg/,Europe > Austria > Tyrol (Tirol) > Außerfern > Tiroler Zugspitz Arena,Europe,Austria,Tyrol (Tirol) > Außerfern,Tiroler Zugspitz Arena,3.4,820 m,1000 m,1820 m,11 km,7.3 km,3.7 km,0 km,5,"€ 68,-",2025-12-12 - 2026-04-06,mid December - late March,08:30 - 16:30,12-15,03-23,EUR,68.0,1.1553,78.5604
Kronplatz (Plan de Corones),https://www.skiresort.info/ski-resort/kronplatz-plan-de-corones/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Plan de Corones (Kronplatz),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol),Plan de Corones (Kronplatz),4.6,1302 m,973 m,2275 m,121 km,58 km,34 km,29 km,31,"€ 80,-",2025-11-29 - 2026-04-19,late November - mid April,08:30 - 17:00,11-23,04-15,EUR,80.0,1.1553,92.424
Sillian – Thurntaler (Hochpustertal),https://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,Europe > Austria > Tyrol (Tirol) > Osttirol (East Tyrol) > East Tyrolean Hochpustertal,Europe,Austria,Tyrol (Tirol) > Osttirol (East Tyrol),East Tyrolean Hochpustertal,3.9,1307 m,1100 m,2407 m,22.4 km,5.3 km,16.1 km,1 km,7,"€ 70,-",2025-12-06 - 2026-04-06,early December - late March,08:30 - 16:30,12-07,03-23,EUR,70.0,1.1553,80.871
Belpiano (Schöneben)/​Malga San Valentino (Haideralm),https://www.skiresort.info/ski-resort/belpiano-schoenebenmalga-san-valentino-haideralm/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Venosta Valley (Vinschgau),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol),Venosta Valley (Vinschgau),4.2,930 m,1460 m,2390 m,65 km,29 km,30 km,6 km,10,"€ 67,-",2025-12-06 - 2026-04-11,early December - mid April,08:30 - 16:30,12-07,04-15,EUR,67.0,1.1553,77.4051
Ski Juwel Alpbachtal Wildschönau,https://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kufstein > Holiday Region Alpbachtal | Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Kufstein > Wildschönau,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland > Kufstein | Tyrol (Tirol) > Tiroler Unterland > Kufstein,Holiday Region Alpbachtal | Wildschönau,4.3,1200 m,830 m,2030 m,96.7 km,31.1 km,52.9 km,12.7 km,45,€ 68.50,2025-12-05 - 2026-04-12,early December - mid April,08:30 - 16:00,12-07,04-15,EUR,68.5,1.1553,79.13804999999999
Val Gardena (Gröden),https://www.skiresort.info/ski-resort/val-gardena-groeden/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Val Gardena (Gröden),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol),Val Gardena (Gröden),4.7,1282 m,1236 m,2518 m,181 km,52 km,108 km,21 km,79,"€ 77,-",2025-12-04 - 2026-04-07,early December - mid April,08:30 - 16:30,12-07,04-15,EUR,77.0,1.1553,88.9581
Tauplitz – Bad Mitterndorf,https://www.skiresort.info/ski-resort/tauplitz-bad-mitterndorf/,Europe > Austria > Styria (Steiermark) > Salzkammergut > Ausseerland,Europe,Austria,Styria (Steiermark) > Salzkammergut,Ausseerland,4,1069 m,896 m,1965 m,43.5 km,18.5 km,19 km,6 km,17,"€ 59,-",2025-11-29 - 2026-04-06,early December - mid April,09:00 - 16:00,12-07,04-15,EUR,59.0,1.1553,68.1627
Gitschberg Jochtal,https://www.skiresort.info/ski-resort/gitschberg-jochtal/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Eisacktal > Gitschberg-Jochtal,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Eisacktal,Gitschberg-Jochtal,4.3,1203 m,1307 m,2510 m,55 km,18.5 km,27.2 km,9.3 km,14,"€ 70,-",2025-12-05 - 2026-04-12,early December - mid April,08:30 - 16:30,12-07,04-15,EUR,70.0,1.1553,80.871
Kleine Scheidegg/​Männlichen – Grindelwald/​Wengen,https://www.skiresort.info/ski-resort/kleine-scheideggmaennlichen-grindelwaldwengen/,Europe > Switzerland > Espace Mittelland > Bern > Bernese Oberland > Jungfrau Region,Europe,Switzerland,Espace Mittelland > Bern > Bernese Oberland,Jungfrau Region,4.2,1456 m,944 m,2400 m,101 km,33 km,55 km,13 km,23,"SFr. 83,- / approx. € 89,-",2025-11-15 - 2026-04-26,mid November - late April,08:00 - 16:30,11-15,04-23,CHF,83.0,1.2428,103.15239999999999
Loser – Altaussee,https://www.skiresort.info/ski-resort/loser-altaussee/,Europe > Austria > Styria (Steiermark) > Salzkammergut > Ausseerland,Europe,Austria,Styria (Steiermark) > Salzkammergut,Ausseerland,4,950 m,850 m,1800 m,34 km,21 km,12 km,1 km,8,"€ 59,-",2025-12-06 - 2026-04-06,early December - mid April,09:00 - 16:00,12-07,04-15,EUR,59.0,1.1553,68.1627
Glungezer – Tulfes,https://www.skiresort.info/ski-resort/glungezer-tulfes/,Europe > Austria > Tyrol (Tirol) > Innsbruck > Innsbruck-Land > Hall-Wattens Region,Europe,Austria,Tyrol (Tirol) > Innsbruck > Innsbruck-Land,Hall-Wattens Region,3.6,1354 m,950 m,2304 m,23 km,6.5 km,15.5 km,1 km,6,"€ 50,-",,mid December - early April,08:30 - 16:30,12-15,04-07,EUR,50.0,1.1553,57.765
Dorfgastein/​Großarltal,https://www.skiresort.info/ski-resort/grossarltaldorfgastein/,Europe > Austria > Salzburg (Salzburger Land) > Pongau > Grossarltal | Europe > Austria > Salzburg (Salzburger Land) > Pongau > Gastein,Europe,Austria,Salzburg (Salzburger Land) > Pongau | Salzburg (Salzburger Land) > Pongau,Grossarltal | Gastein,4.2,1184 m,849 m,2033 m,67.5 km,31 km,35 km,1.5 km,16,"€ 77,-",2025-12-05 - 2026-04-11,early December - late April,08:30 - 16:00,12-07,04-23,EUR,77.0,1.1553,88.9581
Bellwald,https://www.skiresort.info/ski-resort/bellwald/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Goms,Europe,Switzerland,Lemanic Region > Valais (Wallis),Goms,,,,,,,,,,,2025-12-13 - 2026-03-22,mid December - late March,09:00 - 16:15,12-15,03-23,,0.0,0.0,0.0
First – Grindelwald,https://www.skiresort.info/ski-resort/first-grindelwald/,Europe > Switzerland > Espace Mittelland > Bern > Bernese Oberland > Jungfrau Region,Europe,Switzerland,Espace Mittelland > Bern > Bernese Oberland,Jungfrau Region,4,1466 m,1034 m,2500 m,49 km,30 km,11 km,8 km,10,"SFr. 83,- / approx. € 89,-",2025-12-20 - 2026-04-06,mid December - early April,08:00 - 16:15,12-15,04-07,CHF,83.0,1.2428,103.15239999999999
Ehrwalder Wettersteinbahnen – Ehrwald,https://www.skiresort.info/ski-resort/ehrwalder-wettersteinbahnen-ehrwald/,Europe > Austria > Tyrol (Tirol) > Außerfern > Tiroler Zugspitz Arena,Europe,Austria,Tyrol (Tirol) > Außerfern,Tiroler Zugspitz Arena,3.5,530 m,1000 m,1530 m,21 km,15 km,3 km,3 km,6,"€ 49,-",2025-12-13 - 2026-03-15,mid December - late March,08:30 - 16:30,12-15,03-23,EUR,49.0,1.1553,56.6097
Elm im Sernftal,https://www.skiresort.info/ski-resort/elm-im-sernftal/,Europe > Switzerland > Eastern Switzerland > Glarus > Sernftal,Europe,Switzerland,Eastern Switzerland > Glarus,Sernftal,3.7,1085 m,1020 m,2105 m,40 km,15 km,20 km,5 km,5,"SFr. 53,- / approx. € 57,-",2025-12-13 - 2026-03-29,mid December - late March,08:00 - 17:00,12-15,03-23,CHF,53.0,1.2428,65.8684
Wildhaus – Gamserrugg (Toggenburg),https://www.skiresort.info/ski-resort/wildhaus-gamserrugg-toggenburg/,Europe > Switzerland > Eastern Switzerland > St. Gallen > Toggenburg,Europe,Switzerland,Eastern Switzerland > St. Gallen,Toggenburg,3.9,1056 m,1020 m,2076 m,23 km,3 km,17 km,3 km,6,"SFr. 61,- / approx. € 66,-",2025-12-13 - 2026-04-06,mid December - early April,08:15 - 16:30,12-15,04-07,CHF,61.0,1.2428,75.8108
Pizol – Bad Ragaz/​Wangs,https://www.skiresort.info/ski-resort/pizol-bad-ragazwangs/,Europe > Switzerland > Eastern Switzerland > Heidiland,Europe,Switzerland,Eastern Switzerland,Heidiland,4,1741 m,509 m,2250 m,43.1 km,18.5 km,18.6 km,6 km,12,"SFr. 67,- / approx. € 72,-",2025-12-06 - 2026-04-06,early December - early April,08:15 - 16:45,12-07,04-07,CHF,67.0,1.2428,83.26759999999999
Kitzsteinhorn/​Maiskogel – Kaprun,https://www.skiresort.info/ski-resort/kitzsteinhornmaiskogel-kaprun/,Europe > Austria > Salzburg (Salzburger Land) > Pinzgau > Zell am See-Kaprun,Europe,Austria,Salzburg (Salzburger Land) > Pinzgau,Zell am See-Kaprun,4.4,2261 m,768 m,3029 m,62.5 km,30.5 km,23 km,9 km,24,"€ 79,-",2025-10-11 - 2026-05-25,mid October - late May,08:15 - 16:45,10-15,05-23,EUR,79.0,1.1553,91.2687
Berwang/​Bichlbach/​Rinnen,https://www.skiresort.info/ski-resort/berwangbichlbachrinnen/,Europe > Austria > Tyrol (Tirol) > Außerfern > Tiroler Zugspitz Arena,Europe,Austria,Tyrol (Tirol) > Außerfern,Tiroler Zugspitz Arena,3.9,664 m,1079 m,1743 m,34 km,17.2 km,15.2 km,1.6 km,12,"€ 68,-",,mid December - early April,08:40 - 16:15,12-15,04-07,EUR,68.0,1.1553,78.5604
San Martino di Castrozza,https://www.skiresort.info/ski-resort/san-martino-di-castrozza/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > Trentino > San Martino di Castrozza/​Passo Rolle/​Primiero/​Vanoi,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > Trentino,San Martino di Castrozza/​Passo Rolle/​Primiero/​Vanoi,4.1,953 m,1404 m,2357 m,60 km,16 km,32 km,12 km,21,"€ 67,-",2025-11-29 - 2026-04-12,late November - mid April,09:00 - 16:00,11-23,04-15,EUR,67.0,1.1553,77.4051
Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,North America > USA > Montana,North America,USA,,,4.7,1330 m,2073 m,3403 m,250 km,53 km,150 km,47 km,40,"US$ 275,- / approx. € 237,-",2025-11-27 - 2026-04-26,late November - mid April,09:00 - 16:00,11-23,04-15,USD,275.0,1.0,275.0
Hohsaas – Saas-Grund,https://www.skiresort.info/ski-resort/hohsaas-saas-grund/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Saas-Fee/​Saastal,Europe,Switzerland,Lemanic Region > Valais (Wallis),Saas-Fee/​Saastal,3.8,1641 m,1559 m,3200 m,26.1 km,4.4 km,19.6 km,2.1 km,8,"SFr. 62,- / approx. € 67,-",2025-12-20 - 2026-04-06,mid December - mid April,09:00 - 16:15,12-15,04-15,CHF,62.0,1.2428,77.05359999999999
Turracher Höhe,https://www.skiresort.info/ski-resort/turracher-hoehe/,Europe > Austria > Styria (Steiermark) > Murau | Europe > Austria > Carinthia (Kärnten) > Upper Carinthia (Oberkärnten) > Feldkirchen > Nockberge,Europe,Austria,Styria (Steiermark) | Carinthia (Kärnten) > Upper Carinthia (Oberkärnten) > Feldkirchen,Murau | Nockberge,4.3,805 m,1400 m,2205 m,42.7 km,14.5 km,25 km,3.2 km,15,€ 68.50,,late November - early May,09:00 - 16:00,11-23,05-07,EUR,68.5,1.1553,79.13804999999999
Rusiń-Ski – Bukowina Tatrzańska,https://www.skiresort.info/ski-resort/rusin-ski-bukowina-tatrzanska/,Europe > Poland > Lesser Poland (Województwo małopolskie),Europe,Poland,,,,,,,,,,,,,,,09:00 - 19:00,,,,0.0,0.0,0.0
