name,link,location,continent,country,region,locality,rating,elev_diff,min_alt,max_alt,total_km,easy_km,inter_km,diff_km,num_lifts,price,current_season,general_season,opening_times,approx_season_start,approx_season_end,original_currency,original_value,exchange_rate,usd_price
Lake Louise,https://www.skiresort.info/ski-resort/lake-louise/,North America > Canada > Alberta > Alberta's Rockies > Banff & Lake Louise,North America,Canada,Alberta > Alberta's Rockies,Banff & Lake Louise,4.3,991 m,1646 m,2637 m,139 km,35 km,62 km,42 km,13,"C$ 169,- / approx. € 103,-",2025-11-07 - 2026-05-03,early November - early May,09:00 - 16:00,11-07,05-07,CFA,169.0,0.0,0.0
Alta Badia,https://www.skiresort.info/ski-resort/alta-badia/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Alta Badia,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol),Alta Badia,4.3,1454 m,1324 m,2778 m,130 km,74 km,47 km,9 km,53,"€ 77,-",2025-12-04 - 2026-04-06,early December - early April,08:30 - 16:30,12-07,04-07,EUR,77.0,1.1553,88.9581
Big White,https://www.skiresort.info/ski-resort/big-white/,North America > Canada > British Columbia > Kootenay Rockies > Kootenay Boundary,North America,Canada,British Columbia > Kootenay Rockies,Kootenay Boundary,4.3,777 m,1508 m,2285 m,105 km,18.9 km,56.7 km,29.4 km,12,"C$ 239,- / approx. € 146,-",2025-11-22 - 2026-04-06,mid November - mid April,09:00 - 15:30,11-15,04-15,CFA,239.0,0.0,0.0
La Molina/​Masella – Alp2500,https://www.skiresort.info/ski-resort/la-molinamasella-alp2500/,Europe > Spain > Catalonia (Catalunya) > Girona,Europe,Spain,Catalonia (Catalunya),Girona,4.3,921 m,1616 m,2537 m,145 km,80 km,47 km,18 km,33,"€ 57,-",2025-12-06 - 2026-04-12,mid November - early May,09:00 - 17:00,11-15,05-07,EUR,57.0,1.1553,65.8521
Les Portes du Soleil – Morzine/​Avoriaz/​Les Gets/​Châtel/​Morgins/​Champéry,https://www.skiresort.info/ski-resort/les-portes-du-soleil-morzineavoriazles-getschatelmorginschampery/,Europe > Switzerland > Lemanic Region > Valais (Wallis) > Val d'Illiez | Europe > France > Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie > Portes du Soleil,Europe,Switzerland | France,Lemanic Region > Valais (Wallis) | Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie,Val d'Illiez | Portes du Soleil,4.3,1269 m,985 m,2254 m,580 km,310 km,210 km,60 km,164,"€ 72,-",2025-12-12 - 2026-04-19,mid December - late April,08:30 - 17:00,12-15,04-23,EUR,72.0,1.1553,83.1816
Levi,https://www.skiresort.info/ski-resort/levi/,Europe > Finland > Northern Finland > Lapland (Finland),Europe,Finland,Northern Finland,Lapland (Finland),4.3,335 m,196 m,531 m,38.5 km,17.5 km,18.1 km,2.9 km,25,"€ 58,-",2025-10-03 - 2026-05-10,early October - early May,09:30 - 19:00,10-07,05-07,EUR,58.0,1.1553,67.0074
Katschberg,https://www.skiresort.info/ski-resort/katschberg/,Europe > Austria > Carinthia (Kärnten) > Upper Carinthia (Oberkärnten) > Spittal an der Drau > Katschberg-Rennweg,Europe,Austria,Carinthia (Kärnten) > Upper Carinthia (Oberkärnten) > Spittal an der Drau,Katschberg-Rennweg,4.3,1154 m,1066 m,2220 m,80 km,12 km,56 km,12 km,17,€ 69.50,2025-12-05 - 2026-04-06,early December - early April,09:00 - 16:00,12-07,04-07,EUR,69.5,1.1553,80.29335
Les 2 Alpes,https://www.skiresort.info/ski-resort/les-2-alpes/,Europe > France > Auvergne-Rhône-Alpes > Isère > Grenoble,Europe,France,Auvergne-Rhône-Alpes > Isère,Grenoble,4.3,2243 m,1280 m,3523 m,200 km,110 km,56 km,34 km,45,"€ 63,-",2025-11-29 - 2026-07-05,early December - late April mid June - late August late October - early November,09:00 - 17:00,,,EUR,63.0,1.1553,72.7839
Flumserberg,https://www.skiresort.info/ski-resort/flumserberg/,Europe > Switzerland > Eastern Switzerland > Heidiland,Europe,Switzerland,Eastern Switzerland,Heidiland,4.2,1557 m,665 m,2222 m,65 km,14 km,40 km,11 km,17,"SFr. 74,- / approx. € 79,-",2025-12-06 - 2026-04-06,mid November - early April,08:00 - 16:30,11-15,04-07,CHF,74.0,1.2428,91.96719999999999
Via Lattea – Sestriere/​Sauze d’Oulx/​San Sicario/​Claviere/​Montgenèvre,https://www.skiresort.info/ski-resort/via-lattea-sestrieresauze-doulxsan-sicarioclavieremontgenevre/,Europe > Italy > Piedmont (Piemonte) > Turin (Torino) | Europe > France > Provence-Alpes-Côte d’Azur > Hautes-Alpes > Briançon,Europe,France | Italy,Piedmont (Piemonte) | Provence-Alpes-Côte d’Azur > Hautes-Alpes,Turin (Torino) | Briançon,4.2,1251 m,1538 m,2789 m,400 km,96 km,220 km,84 km,70,"€ 63,-",2025-11-29 - 2026-04-19,early December - mid April,09:00 - 16:30,12-07,04-15,EUR,63.0,1.1553,72.7839
